radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,address
LTE,222,1,11268,128201985,0,9.153671265,45.50331116,1000,1,1,1437136648,1437136648,0,"Via Privata Giampietrino, 20156 Milano MI, Italy"
LTE,222,1,11268,128004867,0,9.144058228,45.47309875,1000,1,1,1433779532,1433779532,0,"Viale Murillo, 26, 20149 Milano MI, Italy"
LTE,222,1,11268,128269061,0,9.153671265,45.50331116,1000,1,1,1437136648,1437136648,0,"Via Privata Giampietrino, 20156 Milano MI, Italy"
LTE,222,1,11268,128006145,0,9.16053772,45.47309875,1000,1,1,1435221251,1435221251,0,"Via Ippolito Nievo, 5, 20145 Milano MI, Italy"
LTE,222,1,11268,128036611,0,9.152297974,45.48683167,1000,1,1,1444650265,1444650265,0,"Via Colonna Marco Antonio, 30, 20149 Milano MI, Italy"
LTE,222,1,11268,128201986,0,9.161911011,45.4964447,1000,1,1,1445399691,1445399691,0,"Cavalcavia Adriano Bacula, Milano MI, Italy"
LTE,222,1,11271,128013313,0,9.153671265,45.45249939,1000,1,1,1437217955,1437217955,0,"Piazza Napoli, 7517, 20146 Milano MI, Italy"
LTE,222,1,11269,128048899,0,9.163284302,45.48271179,1000,1,1,1444650288,1444650288,0,"Via Angelo Poliziano, 1, 20154 Milano MI, Italy"
LTE,222,1,11270,128008961,0,9.153671265,45.47172546,1000,1,1,1443798712,1443798712,0,"Via Monte Rosa, 10, 20145 Milano MI, Italy"
LTE,222,1,11300,128007427,0,9.119338989,45.49369812,1000,1,1,1426081405,1426081405,0,"Via Adolfo Omodeo, 1, 20151 Milano MI, Italy"
LTE,222,1,11269,128018946,0,9.179763794,45.47447205,1000,1,1,1444650288,1444650288,0,"Viale Gadio, 2, 20121 Milano MI, Italy"
LTE,222,1,11269,128020227,0,9.161911011,45.48683167,1000,1,1,1444778910,1444778910,0,"Via Giovanni Battista Fauchè, 37, 20154 Milano MI, Italy"
LTE,222,1,11300,128038402,0,9.123458862,45.47996521,1000,1,1,1428883367,1428883367,0,"Via Achille, 4, 20151 Milano MI, Italy"
LTE,222,1,11271,128014337,0,9.177017212,45.46485901,1000,1,1,1442069261,1442069261,0,"Via Sant'Agnese, 14, 20123 Milano MI, Italy"
