#{"t_start": 1583841439.0914595, "env_id": "multi-channel-DCA-v0"}
r,l,t,block_prob,timestamp
7928,15892,8557.611445,0.5737847222222222,2013-11-01 00:50:00
8314,15892,8631.702569,0.5515046296296297,2013-11-01 00:50:00
9074,15892,8702.662825,0.5302372685185185,2013-11-01 00:50:00
9040,15892,8777.421533,0.5355902777777778,2013-11-01 00:50:00
10156,15892,8847.151282,0.5292245370370371,2013-11-01 00:50:00
9744,15892,8921.770072,0.5176504629629629,2013-11-01 00:50:00
10112,15892,8991.999606,0.5167824074074074,2013-11-01 00:50:00
9804,15892,9065.933288,0.5455729166666666,2013-11-01 00:50:00
7502,15892,9137.46548,0.6012731481481481,2013-11-01 00:50:00
8402,15892,9209.729111,0.5710358796296297,2013-11-01 00:50:00
8718,15892,9280.267176,0.5750868055555556,2013-11-01 00:50:00
8236,15892,9353.560634,0.5768229166666666,2013-11-01 00:50:00
8580,15892,9428.507747,0.5494791666666666,2013-11-01 00:50:00
8936,15892,9497.642004,0.5425347222222222,2013-11-01 00:50:00
9240,15892,9571.240938,0.5512152777777778,2013-11-01 00:50:00
8480,15892,9641.449625,0.5302372685185185,2013-11-01 00:50:00
8626,15892,9717.108258,0.5590277777777778,2013-11-01 00:50:00
8754,15892,9788.222536,0.5610532407407407,2013-11-01 00:50:00
10782,15892,9860.095748,0.5076678240740741,2013-11-01 00:50:00
8264,15892,9931.967989,0.5836226851851852,2013-11-01 00:50:00
8318,15892,10005.348672,0.5665509259259259,2013-11-01 00:50:00
7384,15892,10076.831161,0.6041666666666666,2013-11-01 00:50:00
8606,15892,10149.197276,0.5695891203703703,2013-11-01 00:50:00
8266,15892,10219.284571,0.5603298611111112,2013-11-01 00:50:00
8044,15892,10291.749254,0.5666956018518519,2013-11-01 00:50:00
8292,15892,10362.788781,0.5321180555555556,2013-11-01 00:50:00
7586,15892,10436.921005,0.5494791666666666,2013-11-01 00:50:00
8838,15892,10505.713025,0.5489004629629629,2013-11-01 00:50:00
7636,15892,10578.623841,0.5814525462962963,2013-11-01 00:50:00
9690,15892,10648.622352,0.5140335648148148,2013-11-01 00:50:00
9032,15892,10720.676931,0.5449942129629629,2013-11-01 00:50:00
8200,15892,10790.479259,0.5866608796296297,2013-11-01 00:50:00
7802,15892,10863.30971,0.5964988425925926,2013-11-01 00:50:00
8380,15892,10931.857864,0.5601851851851852,2013-11-01 00:50:00
9168,15892,11004.421818,0.5714699074074074,2013-11-01 00:50:00
8700,15892,11074.166148,0.5610532407407407,2013-11-01 00:50:00
8324,15892,11146.702071,0.5292245370370371,2013-11-01 00:50:00
9124,15892,11221.553297,0.53515625,2013-11-01 00:50:00
